track_uri,track_name,artist_uri,artist_name,album_uri,album_name,words,count
spotify:track:7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The Killers,spotify:album:4undIeGmofnAYKhnDclN1w,Hot Fuss,"[throwback, new, song, playlist]",1
spotify:track:7k6IzwMGpxnRghE7YosnXT,Me & U,spotify:artist:27FGXRNruFoOdf1vP8dqcH,Cassie,spotify:album:0j1qzjaJmsF1FkcICf3hRu,Cassie,"[throwback, new, song, playlist]",1
spotify:track:4E5P1XyAFtrjpiIxkydly4,Replay,spotify:artist:5tKXB9uuebKE34yowVaU3C,Iyaz,spotify:album:44hyrGuZKAvITbmrlhryf8,Replay,"[throwback, new, song, playlist]",1
spotify:track:20ORwCJusz4KS2PbTPVNKo,Leavin',spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,spotify:album:2tDCfKFy2YW9N0IwNSRdOJ,Departure - Recharged,"[throwback, new, song, playlist]",1
spotify:track:1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,spotify:artist:5EvFsr3kj42KNv97ZEnqij,Shaggy,spotify:album:6NmFmPX56pcLBOFMhIiKvF,Hot Shot,"[throwback, new, song, playlist]",1
spotify:track:3uoQULcUWfnt6nc6J7Vgai,Your Love Is My Drug,spotify:artist:6LqNN22kT3074XbTVUrhzX,Kesha,spotify:album:5peRwC6pQh8eaoIPtvmmOB,Animal,"[throwback, new, song, playlist]",1
spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,Baby,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,spotify:album:6gdLfnf2vdNlMTyhJHaDLs,My Worlds,"[throwback, new, song, playlist]",1
spotify:track:4sFbojhVXQv7dBC9PVCcRn,Sympathy For The Devil,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:album:5WZFtmADuJUZPtt0NER0Qi,Beggars Banquet,"[awesom, playlist, old, song, playlist]",1
spotify:track:3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Moving Pictures,"[awesom, playlist, old, song, playlist]",1
spotify:track:5y69gQtK33qxb8a24ACkCy,A Thousand Miles,spotify:artist:5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,spotify:album:7D6BFTArx2ajtkKRVXIKO2,Be Not Nobody,"[throwback, new, song, playlist]",1
spotify:track:2gam98EZKrF9XuOkU13ApN,Promiscuous,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,spotify:album:2yboV2QBcVGEhcRlYuPpDT,Loose,"[throwback, new, song, playlist]",1
spotify:track:2jFlMILIQzs7lSFudG9lbo,Beep,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,spotify:album:0ylxpXE00fVxh6d60tevT8,PCD,"[throwback, new, song, playlist]",1
spotify:track:215JYyyUnrJ98NK3KEwu6d,Soak Up The Sun,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,spotify:album:5NYcTXrRZHxNyRKVOd0vs1,C'Mon C'Mon,"[throwback, new, song, playlist]",1
spotify:track:3utIAb67sOu0QHxBE88P1M,See You Again,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:6SkirMQoL4QhnXOM5MH5El,See You Again,"[throwback, new, song, playlist]",1
spotify:track:1JURww012QnWAw0zZXi6Aa,Just The Girl,spotify:artist:01lz5VBfkMFDteSA9pKJuP,The Click Five,spotify:album:7gZilZGYr8M7UwEeYvdAKZ,Greetings From Imrie House,"[throwback, new, song, playlist]",1
spotify:track:4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,spotify:album:283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall,"[throwback, new, song, playlist]",1
spotify:track:69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,spotify:album:1rG5TDs3jYh6OU753I54CI,My World,"[throwback, new, song, playlist]",1
spotify:track:7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown,spotify:album:49gaz5rhWWgqCw61M9700v,Chris Brown,"[throwback, new, song, playlist]",1
spotify:track:6d8A5sAx9TfdeseDvfWNHd,Check On It - feat. Bun B and Slim Thug,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,spotify:album:3MJHoQUI828kmB6IpjejbW,B'Day,"[throwback, new, song, playlist]",1
spotify:track:3nJYcY9yvKP8Oi2Ml8brXt,Right Hand Man,spotify:artist:6sLwRSXSUF5JTUnQaFenyj,Christopher Jackson,spotify:album:1kCHru7uhxBUdzkm4gzRQc,Hamilton,"[awesom, playlist, old, song, playlist]",1
spotify:track:0K6yUnIKNsFtfIpTgGtcHm,Limelight,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Moving Pictures,"[awesom, playlist, old, song, playlist]",1
spotify:track:2nVHqZbOGkKWzlcy1aMbE7,Kashmir,spotify:artist:36QJpDe2go2KgaRleHCDTp,Led Zeppelin,spotify:album:1lZahjeu4AhPkg9JARZr5F,Physical Graffiti,"[awesom, playlist, old, song, playlist]",1
spotify:track:7nZnCjIJ8JigdMqJ36yRRm,I am the Doctor in Utah,spotify:artist:6Gp8BbKAqPO3R0UAYkm8J0,Ben Foster,spotify:album:2t34tkX7TR5rYKMu3WYO0z,Doctor Who: Series 6 (Original Television Soundtrack),"[awesom, playlist, old, song, playlist]",1
spotify:track:0uqPG793dkDDN7sCUJJIVC,Where Is The Love?,spotify:artist:1yxSLGMDHlW21z4YXirZDS,The Black Eyed Peas,spotify:album:1bNyYpkDRovmErm4QeDrpJ,Elephunk,"[throwback, new, song, playlist]",1
spotify:track:4TTV7EcfroSLWzXRY6gLv6,Alexander Hamilton,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,spotify:album:1kCHru7uhxBUdzkm4gzRQc,Hamilton,"[awesom, playlist, old, song, playlist]",1
spotify:track:39C5FuZ8C8M0QI8CrMsPkR,Foreplay / Long Time,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,"[awesom, playlist, old, song, playlist]",1
